"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Purchase of ambulances (Four, three and two wheelers)","WS/MP887/2025-2026/207251","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","20-Aug-2026","FORCE MOTORS LIMITED","Payment In-Progress","4282950"
"2","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243305","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","14-Aug-2026","SARPANCH GRAM PANCHYAT Manikchauri","Payment In-Progress","259974"
"3","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282272","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","18-Aug-2026","ASSISTANT ENGINEER PATNA SAHIB","Payment In-Progress","1492200"
"4","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282283","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","18-Aug-2026","ASSISTANT ENGINEER PATNA SAHIB","Payment In-Progress","1485600"
"5","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/283419","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER PATNA SAHIB","Payment In-Progress","959600"
"6","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/283414","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER PATNA SAHIB","Payment In-Progress","1465500"
"7","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138282","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"8","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138283","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"9","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138284","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"10","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138285","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"11","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138286","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"12","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138290","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"13","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138289","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"14","Uttar Pradesh","Installation of multi-gym equipment","WS/MP192/2025-2026/138287","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","01-Apr-2026","BALAJI SUPPLIER","Payment In-Progress","489765"
"15","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2024-2025/156054","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","19-Aug-2026","ASSISTANT ENGINEER LAURIYA","Payment In-Progress","597001"
"16","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282298","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER FATUHA","Payment In-Progress","1471500"
"17","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282296","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER FATUHA","Payment In-Progress","1393100"
"18","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282295","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER FATUHA","Payment In-Progress","1472100"
"19","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2026-2027/282297","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","20-Aug-2026","ASSISTANT ENGINEER FATUHA","Payment In-Progress","1080200"
"20","Uttar Pradesh","Providing drains and gutters for public drainage","WS/MP18331/2026-2027/282888","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","20-Aug-2026","J S INFRATECH","Payment In-Progress","188800"
"21","Punjab","Construction of community centers and community halls","WS/MP844/2024-2025/98410","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","03-Aug-2026","Vinod Kumar Garg","Payment In-Progress","540578"
"22","Tamil Nadu","Construction of culverts and bridges","WS/MP18435/2026-2027/255473","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","19-Aug-2026","TAMIL NADU JOURNALIST WELFARE BOARD FUND","Payment In-Progress","168"
"23","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2025-2026/250664","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"24","Uttar Pradesh","Street lights","WS/MP202/2026-2027/270319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","19600"
"25","Uttar Pradesh","Street lights","WS/MP202/2026-2027/270317","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","19600"
"26","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270303","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"27","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270304","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"28","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"29","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270306","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"30","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2026-2027/270302","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Jul-2026","HANSH ENTERPRISES","Payment In-Progress","98000"
"31","Chhattisgarh","Development of playfields and sports grounds","WS/MP225/2025-2026/250305","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GRAM PANCHAYAT MANAKONI","Payment In-Progress","250000"
"32","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Defy Systems","Payment In-Progress","211599"
"33","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Defy Systems","Payment In-Progress","193860"
"34","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Defy Systems","Payment In-Progress","1785250"
"35","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Defy Systems","Payment In-Progress","144680"
"36","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Defy Systems","Payment In-Progress","26738"
"37","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2024-2025/128358","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","22-Aug-2026","Assistant Engineer Bisfi Vidhan Sabha","Payment In-Progress","567520"
"38","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/263024","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","20-Aug-2026","GP DEVIKHEDA","Payment In-Progress","600000"
"39","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP224/2026-2027/284717","MUNGELI(Collector Mungeli_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","24-Jul-2026","GRAM PANCHYAT BALAUDI SGVY","Payment In-Progress","400000"
"40","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229587","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"41","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229589","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"42","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229591","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"43","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229610","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"44","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229611","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"45","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229612","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"46","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2026-2027/285782","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Assistnat Engineer Mokama","Payment In-Progress","989981"
"47","Bihar","Installing hand pumps","WS/MP001/2026-2027/278800","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Assistnat Engineer Mokama","Payment In-Progress","84439"
"48","Bihar","Installing hand pumps","WS/MP001/2026-2027/278803","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Assistnat Engineer Mokama","Payment In-Progress","84439"
"49","Bihar","Installing hand pumps","WS/MP001/2026-2027/278802","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Assistnat Engineer Mokama","Payment In-Progress","84439"
"50","Bihar","Installing hand pumps","WS/MP001/2026-2027/278801","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Assistnat Engineer Mokama","Payment In-Progress","84439"
"51","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP104/2026-2027/273231","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. L. Murugan (2024-30) (2024-2030)","Elected MP","08-Jul-2026","GP LASUDIYABECHAR","Payment In-Progress","960000"
"52","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151101","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"53","Punjab","Providing drains and gutters for public drainage","WS/MP843/2026-2027/273827","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","21-Aug-2026","GURU NANAK INTERLOCK TILES","Payment In-Progress","172050"
"54","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2026-2027/230393","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","04-Aug-2026","GRAM PANCHAYAT BAGASPUR","Payment In-Progress","150000"
"55","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2023-2024/16913","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","30-Aug-2025","Sunny Enterprises","Payment In-Progress","125500"
"56","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2026-2027/275765","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","13-Aug-2026","Manju Choudhary","Payment In-Progress","471581"
"57","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2026-2027/276621","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","13-Aug-2026","Manju Choudhary","Payment In-Progress","914966"
"58","Himachal Pradesh","Construction of community centers and community halls","WS/MP18304/2026-2027/282566","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","22-Aug-2026","Block Development Office Chopal Rajya Sabha","Payment In-Progress","300000"
"59","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2026-2027/207135","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","06-Aug-2026","DHIRENDRA SINGH","Payment In-Progress","5307017"
"60","Bihar","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18332/2025-2026/217319","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","19-Aug-2026","ASSISTANT ENGINEER  BAHADURPUR","Payment In-Progress","648902"
"61","Madhya Pradesh","Construction of shelters for animals","WS/MP106/2025-2026/219723","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","GRAM PANCHAYAT JHOT","Payment In-Progress","125000"
"62","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP186/2025-2026/219128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","10-Aug-2026","BDO PAHADI","Payment In-Progress","58512"
"63","Uttar Pradesh","Lighting of public spaces","WS/MP202/2024-2025/138603","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2026","Ms SS Construction","Payment In-Progress","625923"
"64","Uttar Pradesh","Construction of rainwater harvesting structures","WS/MP186/2025-2026/218809","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","19-Aug-2026","Narendra Kumar Mishra","Payment In-Progress","1846516"
"65","Gujarat","Providing supply pipelines for drinking water","WS/MP18403/2025-2026/212683","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","19-Aug-2026","CHACHARIYA GRAM PANCHAYAT","Payment In-Progress","60000"
"66","Uttar Pradesh","Construction of rainwater harvesting structures","WS/MP186/2025-2026/218809","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","19-Aug-2026","Khand Vikas Adhikari","Payment In-Progress","202756"
"67","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2026-2027/283697","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Gram Panchayat CHATAHEDI","Payment In-Progress","600000"
"68","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2026-2027/194228","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","07-Aug-2026","HARSHPREM ENTERPRISES PVT LTD","Payment In-Progress","748500"
"69","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2026-2027/194228","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","07-Aug-2026","HARSHPREM ENTERPRISES PVT LTD","Payment In-Progress","375000"
"70","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151100","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"71","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151102","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"72","Punjab","Construction of footpaths and pedestrian ways","WS/MP843/2026-2027/273830","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","21-Aug-2026","GURU NANAK INTERLOCK TILES","Payment In-Progress","231750"
"73","Uttar Pradesh","Lighting of public spaces","WS/MP202/2024-2025/138609","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2026","Ms SS Construction","Payment In-Progress","625923"
"74","Uttar Pradesh","Lighting of public spaces","WS/MP202/2024-2025/138610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2026","Ms SS Construction","Payment In-Progress","625923"
"75","Uttar Pradesh","Construction of stadiums","WS/MP188/2026-2027/179557","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Vaid Associates","Payment In-Progress","2710610"
"76","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2024-2025/174310","SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","23-Aug-2026","JUNIOR ENGINEER NREP SKL KSN","Payment In-Progress","109700"
"77","Uttar Pradesh","Construction of buildings for community cultural activities","WS/MP18387/2025-2026/207449","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","21-Aug-2026","BINDU DEVI","Payment In-Progress","283508"
"78","Uttarakhand","Construction of water tanks","WS/MP18333/2025-2026/186613","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","03-Aug-2026","Riyanshi Contractor","Payment In-Progress","977393"
"79","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/242858","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","29-Jul-2026","Riyanshi Contractor","Payment In-Progress","496946"
"80","Bihar","Construction of bus-sheds or bus-stops","WS/MP044/2025-2026/232534","ARWAL(District Planning Officer Arwal_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","19-Aug-2026","AE  KURTHA","Payment In-Progress","497994"
"81","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224034","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","06-Aug-2026","J R Group","Payment In-Progress","111973"
"82","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/247312","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","11-Jul-2026","J R Group","Payment In-Progress","1172052"
"83","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP203/2025-2026/209150","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","19-Aug-2026","POOJA ENTERPRISES","Payment In-Progress","466572"
"84","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/256626","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Aug-2026","Bhoyan Grampanchayat","Payment In-Progress","300000"
"85","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/52971","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment In-Progress","50000"
"86","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/52971","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","21-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment In-Progress","50000"
"87","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/48496","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment In-Progress","50000"
"88","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/48498","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment In-Progress","50000"
"89","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/193112","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","20-Aug-2026","Vijay And Company","Payment In-Progress","220052"
"90","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/196154","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","19-Aug-2026","Gp Kiri","Payment In-Progress","74970"
"91","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219925","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","13-Aug-2026","The Narwana Sahil Co op LC Society ltd","Payment In-Progress","153406"
